University name , Link , Location, Number of Students 
Dagestan State Medical University,https://dgmu.ru,Makhachkala, Not reported
Bryansk State Technical University,https://www.tu-bryansk.ru,Brjansk,4999
Amur State University of Humanities and Pedagogy,https://www.amgpgu.ru,Komsomolsk-on-Amur,2999
Voronezh State University of Engineering Technology,https://vsuet.ru,Voronezh, Not reported
Cherepovets State University,https://www.chsu.ru,Cherepovets,6999
State University of Land Management,http://www.guz.ru,Moscow,3999
Ivanovo State Polytechnic University,https://ivgpu.com,Ivanovo,2999
Kamchatka State University,http://www.kamgu.ru,Petropavlovsk-Kamchatsky,1999
Russian State Institute of Performing Arts,http://www.rgisi.ru,Saint Petersburg,999
Kemerovo State Medical University,https://kemsmu.ru,Kemerovo, Not reported
Privolzhsky Research Medical University,https://pimunn.ru,Nizhny Novgorod,4999
Moscow State Academy of Physical Culture,https://mgafk.ru,Lyubertsy,1999
Volgograd State University of Architecture and Civil Engineering,https://vgasu.ru,Volgograd,9999
Chechen State University,https://www.chesu.ru,Grozny, Not reported
Armavir State Pedagogical University,http://www.agpu.net,Armavir,6999
Tomsk State University of Architecture and Building,https://tsuab.ru,Tomsk ...,6999
Tyva State University,http://tuvsu.ru,Kyzyl,3999
Vologda State Dairy Farming Academy,https://molochnoe.ru,Vologda, Not reported
Kazan State Agricultural University,https://kazgau.ru,Kazan,3999
Far Eastern State Technical Fisheries University,https://dalrybvtuz.ru,Vladivostok,8999
Moscow State Industrial Art University,https://xn----7sbabalfgj4as1arld1aqs8v.xn--p1ai,Moscow,1999
Penza State Technological University,http://www.penzgtu.ru,Penza, Not reported
Kuban State University of Physical Culture  Sport and Tourism,https://kgufkst.ru,Krasnodar,2999
Kazan State Conservatory,https://kazancons.ru,Kazan, Not reported
Orenburg State Pedagogical University,https://ospu.ru,Orenburg,4999
Kazan State University of Culture and Arts,https://kazgik.ru,Kazan,2999
Kalmyk State University,http://www.kalmsu.ru,Elista,4999
University of Humanities,https://gu-ural.ru,Yekaterinburg,4999
Northern Ossetian State Academy of Medicine,http://sogma.ru,Vladikavkaz ...,2999
Moscow Institute of Public Administration and Law,http://academprava.ru,Moscow,3999
Buryat State Academy of Agriculture,http://www.bgsha.ru,Ulan-Ude,250
Amur State Medical Academy,http://www.amursma.ru,Blagoveshchensk,1999
Ingush State University,http://www.inggu.ru,Ordzhonikidzevskaya, Not reported
Dagestan State Pedagogical University,http://dgpu.net,Makhachkala,14999
Tyumen State Agricultural Academy,http://www.tsaa.ru,Tyumen,9999
Altai State Academy of Education,http://www.bigpi.biysk.ru,Biisk,3999
Ryazan State Agrotechnological University,http://www.rgatu.ru,Ryazan,6999
Bryansk State Agrarian University,https://www.bgsha.com,Brjansk,3999
Michurinsk State Agrarian University,http://www.mgau.ru,Michurinsk,3999
Don State University of Agriculture,http://www.dongau.ru,Persianovsky,3999
Rybinsk State Aviation Technical University,https://www.rsatu.ru,Rybinsk, Not reported
North Caucasian Institute of Mining and Metallurgy,http://www.skgmi-gtu.ru,Vladikavkaz,4999
Pyatigorsk State Pharmaceutical Academy,http://www.pmedpharm.ru,Pyatigorsk,2999
Moscow University of Information and Technology - Moscow Institute of Architecture and Civil Engineering,https://mitu-masi.ru,Moscow,1999
Yaroslavl State Academy of Agriculture,https://www.yaragrovuz.ru,Yaroslavl, Not reported
Moscow State University of Environmental Engineering,https://msuee.ru,Moscow,3999
Nayanova University,http://www.nayanova.edu,Samara,499
Siberian State University of Physical Culture and Sports,https://sibsport.ru,Omsk,2999
